Name	Collection	Experiment	Water	Cutting	Season	Defoliation	SowingDate	FD	GrowthSeason	Rotation	StartDate	MidDate	FinishDate	Interval	Variable	VariableUnits	Period	Clock.Today	Time	Observed	StdDEV	ExperimentID	Treatment	ID	Month	Stage	Trend
Iversen_12SowingDateSD1	2010_2012	Lincoln2010	irr	LL	Spring	LL	SD1	FD5	1	1	4/10/2010	15/11/2010	28/12/2010	0	LAI	m2/m2	10_11	4/10/2010	12:00:00	0	0	E5	DLLS1	E5DLLS1	10	Seedling	Inc
Iversen_12SowingDateSD1	2010_2012	Lincoln2010	irr	LL	Spring	LL	SD1	FD5	1	1	4/10/2010	15/11/2010	28/12/2010	0	ShootWt	kg/ha	10_11	4/10/2010	12:00:00	0	0	E5	DLLS1	E5DLLS1	10	Seedling	Inc
Iversen_12SowingDateSD1	2010_2012	Lincoln2010	irr	LL	Spring	LL	SD1	FD5	1	1	4/10/2010	15/11/2010	28/12/2010	0	SWC	mm	10_11	4/10/2010	12:00:00	723.4	10.2	E5	DLLS1	E5DLLS1	10	Seedling	Inc
Iversen_12SowingDateSD2	2010_2012	Lincoln2010	irr	LL	Spring	LL	SD2	FD5	1	1	4/11/2010	11/12/2010	17/01/2011	0	LAI	m2/m2	10_11	4/11/2010	12:00:00	0	0	E5	DLLS2	E5DLLS2	11	Seedling	Inc
Iversen_12SowingDateSD2	2010_2012	Lincoln2010	irr	LL	Spring	LL	SD2	FD5	1	1	4/11/2010	11/12/2010	17/01/2011	0	ShootWt	kg/ha	10_11	4/11/2010	12:00:00	0	0	E5	DLLS2	E5DLLS2	11	Seedling	Inc
Iversen_12SowingDateSD2	2010_2012	Lincoln2010	irr	LL	Spring	LL	SD2	FD5	1	1	4/11/2010	11/12/2010	17/01/2011	3	SWC	mm	10_11	7/11/2010	12:00:00	719.7	24.3	E5	DLLS2	E5DLLS2	11	Seedling	Inc
Iversen_12SowingDateSD1	2010_2012	Lincoln2010	irr	LL	Spring	LL	SD1	FD5	1	1	4/10/2010	15/11/2010	28/12/2010	39	NodeNumber	Fraction	10_11	12/11/2010	12:00:00	3.2	0.3	E5	DLLS1	E5DLLS1	11	Seedling	Inc
Iversen_12SowingDateSD1	2010_2012	Lincoln2010	irr	LL	Spring	LL	SD1	FD5	1	1	4/10/2010	15/11/2010	28/12/2010	43	NodeNumber	Fraction	10_11	16/11/2010	12:00:00	4.3	0.5	E5	DLLS1	E5DLLS1	11	Seedling	Inc
Iversen_12SowingDateSD1	2010_2012	Lincoln2010	irr	LL	Spring	LL	SD1	FD5	1	1	4/10/2010	15/11/2010	28/12/2010	45	NodeNumber	Fraction	10_11	18/11/2010	12:00:00	5.2	0.8	E5	DLLS1	E5DLLS1	11	Seedling	Inc
Iversen_12SowingDateSD1	2010_2012	Lincoln2010	irr	LL	Summer	LL	SD1	FD5	1	1	4/10/2010	15/11/2010	28/12/2010	51	SWC	mm	10_11	24/11/2010	12:00:00	706.9	15.5	E5	DLLS1	E5DLLS1	11	Seedling	Inc
Iversen_12SowingDateSD1	2010_2012	Lincoln2010	irr	LL	Summer	LL	SD1	FD5	1	1	4/10/2010	15/11/2010	28/12/2010	52	LAI	m2/m2	10_11	25/11/2010	12:00:00	1	0.3	E5	DLLS1	E5DLLS1	11	Seedling	Inc
Iversen_12SowingDateSD1	2010_2012	Lincoln2010	irr	LL	Summer	LL	SD1	FD5	1	1	4/10/2010	15/11/2010	28/12/2010	52	ShootWt	kg/ha	10_11	25/11/2010	12:00:00	763.4	210.7	E5	DLLS1	E5DLLS1	11	Seedling	Inc
Iversen_12SowingDateSD1	2010_2012	Lincoln2010	irr	LL	Summer	LL	SD1	FD5	1	1	4/10/2010	15/11/2010	28/12/2010	53	NodeNumber	Fraction	10_11	26/11/2010	12:00:00	7.5	1	E5	DLLS1	E5DLLS1	11	Seedling	Inc
Iversen_12SowingDateSD1	2010_2012	Lincoln2010	irr	LL	Summer	LL	SD1	FD5	1	1	4/10/2010	15/11/2010	28/12/2010	58	LAI	m2/m2	10_11	1/12/2010	12:00:00	2.6	0.1	E5	DLLS1	E5DLLS1	12	Seedling	Inc
Iversen_12SowingDateSD1	2010_2012	Lincoln2010	irr	LL	Summer	LL	SD1	FD5	1	1	4/10/2010	15/11/2010	28/12/2010	58	ShootWt	kg/ha	10_11	1/12/2010	12:00:00	1976.3	103.1	E5	DLLS1	E5DLLS1	12	Seedling	Inc
Iversen_12SowingDateSD3	2010_2012	Lincoln2010	irr	LL	Summer	LL	SD3	FD5	1	1	2/12/2010	8/01/2011	15/02/2011	0	LAI	m2/m2	10_11	2/12/2010	12:00:00	0	0	E5	DLLS3	E5DLLS3	12	Seedling	Inc
Iversen_12SowingDateSD3	2010_2012	Lincoln2010	irr	LL	Summer	LL	SD3	FD5	1	1	2/12/2010	8/01/2011	15/02/2011	0	ShootWt	kg/ha	10_11	2/12/2010	12:00:00	0	0	E5	DLLS3	E5DLLS3	12	Seedling	Inc
